cnp;produto;gh_ou_hmr3;laboratorio;desconto;pva;pvp;iva_valor
5678503;ÁC. ALENDRÓNICO + COLECALCIFEROL AZEVEDOS 70 MG + 2800 U.I. 4 CPR;GH1083 - Ácido alendrónico + Colecalciferol | A101 | Oral | 70 mg + 2800 U.I. | [1-4] unidades;AZEVEDOS;0,6166999999999999;6,55;10,1;0,06
5678529;ÁC. ALENDRÓNICO + COLECALCIFEROL AZEVEDOS 70 MG + 5600 U.I.  4 CPR;GH1082 - Ácido alendrónico + Colecalciferol | A101 | Oral | 70 mg + 5600 U.I. | [1-4] unidades;AZEVEDOS;0,45;6,31;9,15;0,06
5705215;ACETILCISTEINA AZEVEDOS 600 MG 20 CPR EFERV;H01.1.1. - Expectorantes;AZEVEDOS;0,55;4,38;6,1;
5734504;ACETILCISTEINA AZEVEDOS S. ORAL 40MG/ML 200ML;H01.1.1. - Expectorantes;AZEVEDOS;0,6166999999999999;4,609999999999999;6,25;
5519186;ACETILCISTEÍNA TUSSILENE 600MG 20 CP;H01.1.1. - Expectorantes;AZEVEDOS;0,5;5,09;7,2;
5744404;ACETILCISTEINA TUSSILENE SOL ORAL 40MG;H01.1.1. - Expectorantes;AZEVEDOS;0,5;6,53;8,65;
5093349;ÁCIDO ALENDRÓNICO AZEVEDOS 70MG 4 CPR;GH0449 - Ácido alendrónico | A101 | Oral | 70 mg | [1-4];AZEVEDOS;0,45;3,04;4,41;0,06
8777821;AFEBRYL 16 COMP.EFERV.;H02.1.1. - Analgésicos e Antipiréticos;AZEVEDOS;0,45;4,4;6,3;
5654728;ALGIK IBUPROFENO 400MG 20CP;H02.1.1. - Analgésicos e Antipiréticos;AZEVEDOS;0,6667;4,15;5,5;
5106109;ALGIK IBUPROFENO SUSPENSÃO ORAL 200ML;H02.1.2. - Analgésico e Antipirético Pediátrico;AZEVEDOS;0,6667;2,86;4,1;
9833905;ALGIK PARACETAMOL + CAFEINA 20 CART.;H02.1.1. - Analgésicos e Antipiréticos;AZEVEDOS;0,4;3,98;5,7;
5677745;ALGIK PARACETAMOL 32MG/ML SOL.ORAL 120ML;H02.1.2. - Analgésico e Antipirético Pediátrico;AZEVEDOS;0,6667;2,94;3,9;
5641923;AMBROXOL AZEVEDOS 6MG  200 ML;H01.1.1. - Expectorantes;AZEVEDOS;0,45;3,87;5,7;
5394507;AMBROXOL TUSSILENE 6 MG/ML 200 ML;H01.1.1. - Expectorantes;AZEVEDOS;0,5;6,88;9,35;
5004593;AMLODIPINA AZEVEDOS 10MG 30 CPR;GH0147 - Amlodipina | A101 | Oral | 10 mg | [21-60];AZEVEDOS;0,45;3,67;5,13;0,06
9767830;ANSITEN AZEVEDOS 10MG 60 CPR;GH0000 - Sem Grupo Homogéneo;AZEVEDOS;0,2857;9,11;13,02;0,06
9767814;ANSITEN AZEVEDOS 5MG 60 CPR;GH0000 - Sem Grupo Homogéneo;AZEVEDOS;0,2857;4,68;6,29;0,06
9078642;ANTIBIOPHILUS 1,5G 20 CART.;H04.2.5. - Antidiarreicos;AZEVEDOS;0,3333;6,28;9,0;
9369223;ANTIBIOPHILUS 250MG 20 CAPS.;H04.2.5. - Antidiarreicos;AZEVEDOS;0,3333;8,52;12,2;
5127402;ATENOLOL AZEVEDOS 100MG 56 CPR;GH0023 - Atenolol | A101 | Oral | 100 mg | [21-60];AZEVEDOS;0,45;4,28;5,83;0,06
5126818;ATENOLOL AZEVEDOS 50MG 56 CPR;GH0027 - Atenolol | A101 | Oral | 50 mg | [21-60];AZEVEDOS;0,45;2,55;3,85;0,06
5260542;ATORVASTATINA AZEVEDOS 10MG 56 CPR  ;GH0786 - Atorvastatina | A101 | Oral | 10 mg | [21-60];AZEVEDOS;0,45;2,47;3,76;0,06
5260559;ATORVASTATINA AZEVEDOS 20MG 28 CPR  ;GH0787 - Atorvastatina | A101 | Oral | 20 mg | [21-60];AZEVEDOS;0,45;2,3;3,57;0,06
5260575;ATORVASTATINA AZEVEDOS 40MG 28 CPR  ;GH0788 - Atorvastatina | A101 | Oral | 40 mg | [21-60];AZEVEDOS;0,6166999999999999;3,09;4,46;0,06
3590197;AZITROMICINA AZEVEDOS 500MG 3 CPR;GH0156 - Azitromicina | A101 | Oral | 500 mg | [3];AZEVEDOS;0,55;3,42;4,84;0,06
7347179;BIOLECTRA CALCIUM 20 COMP. EFE;H10.3.1. - Suplementos de Cálcio e Fortificantes dos ossos;AZEVEDOS;0,1667;5,55;9,1;
7392407;BIOLECTRA MAGNESIUM 300MG 40 CAPS;H05.4.1. - Suplementos Magnésio;AZEVEDOS;0,1667;10,19;16,5;
7380865;BIOLECTRA MAGNESIUM DIRECT;H05.4.1. - Suplementos Magnésio;AZEVEDOS;0,1667;8,3;13,8;
7333955;BIOLECTRA MAGNESIUM FORTE 20CP;H05.4.1. - Suplementos Magnésio;AZEVEDOS;0,1667;8,06;13,4;
6262766;BIOLECTRA SPORT PLUS 20 SAQUETAS;H05.4.1. - Suplementos Magnésio;AZEVEDOS;0,1667;9,59;14,75;
